M,N,VarE,Loss
5,5,0.0,0.3459782302379608
5,5,0.1,61.43144607543945
5,5,0.3,4.142393589019775
5,5,0.5,1.7376760244369507
5,10,0.0,1.8729466199874878
5,10,0.1,0.6657764315605164
5,10,0.3,1.354472041130066
5,10,0.5,2.019753932952881
5,15,0.0,31.30532455444336
5,15,0.1,46.008384704589844
5,15,0.3,2.663717746734619
5,15,0.5,0.13889896869659424
5,20,0.0,14.367683410644531
5,20,0.1,2.3182201385498047
5,20,0.3,0.003976730164140463
5,20,0.5,2.396165609359741
10,5,0.0,32.22760009765625
10,5,0.1,0.4464600384235382
10,5,0.3,0.03751346096396446
10,5,0.5,0.13335418701171875
10,10,0.0,10.671448707580566
10,10,0.1,0.28949248790740967
10,10,0.3,2.860624074935913
10,10,0.5,0.3599974513053894
10,15,0.0,35.59780502319336
10,15,0.1,23.809696197509766
10,15,0.3,0.02556655928492546
10,15,0.5,10.857292175292969
10,20,0.0,22.046663284301758
10,20,0.1,76.51651000976562
10,20,0.3,0.6105026602745056
10,20,0.5,5.796598434448242
50,5,0.0,35.53203582763672
50,5,0.1,6.471371650695801
50,5,0.3,19.01045799255371
50,5,0.5,1.328304409980774
50,10,0.0,3.4712626934051514
50,10,0.1,17.122440338134766
50,10,0.3,0.06421270966529846
50,10,0.5,11.338179588317871
50,15,0.0,16.80129623413086
50,15,0.1,0.8758669495582581
50,15,0.3,1.179845929145813
50,15,0.5,10.704896926879883
50,20,0.0,11.855618476867676
50,20,0.1,6.485203742980957
50,20,0.3,58.982688903808594
50,20,0.5,17.519214630126953
100,5,0.0,5.482436180114746
100,5,0.1,3.5968477725982666
100,5,0.3,51.71391677856445
100,5,0.5,22.68709945678711
100,10,0.0,17.57000160217285
100,10,0.1,70.20364379882812
100,10,0.3,0.064766064286232
100,10,0.5,5.1142449378967285
100,15,0.0,2.7177693843841553
100,15,0.1,31.485612869262695
100,15,0.3,2.560199499130249
100,15,0.5,8.82149600982666
100,20,0.0,4.135458469390869
100,20,0.1,18.870542526245117
100,20,0.3,51.98268508911133
100,20,0.5,1.8455089330673218
